69,F0001,M11,M10,140
70,F0001,M65,F01-X01,300
71,F0001,T204-X07,M63,400
72,F0001,M73,M74,70
73,F0001,M74,T504-X02,310
74,F0001,T204-X04,M64,360
75,F0001,M71,T504-X05G,290
76,F0001,T502-X04,M142,270
77,F0001,M142,M141,80
78,F0001,M41,M42,160
79,F0001,M49,C02-X13,340
80,F0001,T502-X05,M42,370
81,F0001,M49,C02-X14,290
82,F0001,T502-X05G,M140,260
83,F0001,M140,M139,80
84,F0001,M48,C02-X06,270
85,F0001,T502-X06G,M139,260
86,F0001,M48,C02-X07,330
87,F0001,T502-X01,M141,260
88,F0001,M48,C02-X08,320
89,F0001,T502-X02,M142,270
90,F0001,M48,C02-X09,310
91,F0001,T502-X07,M140,250
92,F0001,M48,C02-X10,290
93,F0001,T502-X03,M141,260
94,F0001,M48,C02-X12,280
95,F0001,T502-X08,M139,250
96,F0001,M48,C02-X11,280
97,F0001,B02-X21,M16,660
98,F0001,M48,C02-X01,330
99,F0001,B02-X22,M17,660
100,F0001,M48,C02-X02,310
101,F0001,T301-X04,M150,490
102,F0001,M150,M149,80
103,F0001,M14,C04-X13,490
104,F0001,T301-X05,M150,520
105,F0001,M14,C04-X14,530
106,F0001,T402-X01,M6,570
107,F0001,M48,C02-X15,320
108,F0001,T501-X05G,M121,290
109,F0001,M24,M25,100
110,F0001,M25,M26,160
111,F0001,M28,M29,150
112,F0001,M29,M30,120
113,F0001,M30,M31,180
114,F0001,M31,C01-X06,290
115,F0001,M120,M119,80
116,F0001,M119,M118,150
117,F0001,M143,C01-X14,260
118,F0001,B02-X03,M17,450
119,F0001,M22,M23,180
120,F0001,M23,T202-X03,390
121,F0001,B02-X04,M16,440
122,F0001,M23,T202-X04,370
123,F0001,B02-X05,M16,490
124,F0001,M23,T202-X05,350
125,F0001,B01-X24,M3,680
126,F0001,M27,M26,120
127,F0001,M31,C01-X04,250
128,F0001,T501-X02,M119,330
129,F0001,M31,C01-X09,300
130,F0001,T501-X07,M121,280
131,F0001,M31,C01-X10,300
132,F0001,B01-X25,M3,440
133,F0001,M31,C01-X05,240
134,F0001,T501-X04,M119,330
135,F0001,M143,C01-X13,290
136,F0001,B02-X06,M17,500
137,F0001,M23,T202-X06,340
138,F0001,B02-X07,M18,510
139,F0001,M18,M17,120
140,F0001,M23,T202-X07,330
141,F0001,B02-X08,M18,510
142,F0001,M23,T202-X08,320
143,F0001,B02-X01,M18,460
144,F0001,M23,T202-X01,490
145,F0001,B02-X09,M18,550
146,F0001,M23,T202-X09,370
147,F0001,T501-X01,M120,340
148,F0001,M31,C01-X08,310
149,F0001,T501-X06G,M122,300
150,F0001,M122,M121,80
151,F0001,M31,C01-X07,330
152,F0001,T501-X03,M120,320
153,F0001,M31,C01-X12,280
154,F0001,M31,C01-X15,270
155,F0001,T501-X08,M122,280
156,F0001,M31,C01-X11,290
157,F0001,B02-X02,M18,460
158,F0001,M23,T202-X02,390
159,F0001,D01-X11,M40,320
160,F0001,M40,M39,130
161,F0001,M75,M76,230
162,F0001,M79,T203-X11,470
163,F0001,D01-X12,M40,320
164,F0001,M79,T203-X12,440
165,F0001,B02-X24,M18,670
166,F0001,M48,C02-X04,290
167,F0001,B02-X18,M18,660
