protocol,instance_id,split,size,method,runs,solved,solved_rate,shifted_gmean_wall_time,shifted_gmean_nodes,mean_final_gap,finite_gap_runs,par2,branch_decisions,rl_inference_total,fallback_count
production-scip,real_01,transfer,medium,rl-gcnn,5,2,0.4,32.241638228479715,26.55798304965985,0.00020996145338786668,3,48.61280551899999,182,15.498769386,0
production-scip,real_01,transfer,medium,rl-mlp,5,1,0.2,30.320258702786944,67.36039828002794,0.048024460568962854,4,53.35686889,388,0.24005272,0
production-scip,real_02,transfer,large,default,5,0,0.0,33.513522105902524,1.0,,0,60.0,0,0.0,0
production-scip,real_02,transfer,large,mostinf,5,0,0.0,33.518318740467244,1.0,,0,60.0,0,0.0,0
production-scip,real_02,transfer,large,random,5,0,0.0,33.23868582627209,1.0,,0,60.0,0,0.0,0
production-scip,real_02,transfer,large,relpscost,5,0,0.0,33.53895980487557,1.0,,0,60.0,0,0.0,0
production-scip,real_02,transfer,large,rl-gcnn,5,0,0.0,34.863063517187825,1.0,,0,60.0,0,0.0,0
production-scip,real_02,transfer,large,rl-mlp,5,0,0.0,33.83381706481948,1.0,,0,60.0,0,0.0,0
production-scip,real_03,transfer,medium,default,5,0,0.0,30.669778868923355,1.0,,0,60.0,0,0.0,0
production-scip,real_03,transfer,medium,mostinf,5,0,0.0,30.813746391320322,1.0,,0,60.0,0,0.0,0
production-scip,real_03,transfer,medium,random,5,0,0.0,30.87854356215017,1.0,,0,60.0,0,0.0,0
production-scip,real_03,transfer,medium,relpscost,5,0,0.0,30.88915389162222,1.0,,0,60.0,0,0.0,0
production-scip,real_03,transfer,medium,rl-gcnn,5,0,0.0,32.70264069233291,1.0,,0,60.0,1,0.045758152,0
production-scip,real_03,transfer,medium,rl-mlp,5,0,0.0,31.026170752330927,1.0,,0,60.0,2,0.0009873640000000001,0
production-scip,real_04,transfer,large,default,5,0,0.0,34.7192342490002,0.0,,0,60.0,0,0.0,0
production-scip,real_04,transfer,large,mostinf,5,0,0.0,34.68493430564338,0.0,,0,60.0,0,0.0,0
production-scip,real_04,transfer,large,random,5,0,0.0,34.680761954027716,0.0,,0,60.0,0,0.0,0
production-scip,real_04,transfer,large,relpscost,5,0,0.0,34.771200220037606,0.0,,0,60.0,0,0.0,0
production-scip,real_04,transfer,large,rl-gcnn,5,0,0.0,36.67868945603437,0.0,,0,60.0,0,0.0,0
production-scip,real_04,transfer,large,rl-mlp,5,0,0.0,34.990398612216,0.0,,0,60.0,0,0.0,0
production-scip,real_05,transfer,medium,default,5,0,0.0,30.754173201420347,1.5694703142468787,,0,60.0,0,0.0,0
production-scip,real_05,transfer,medium,mostinf,5,0,0.0,30.699495407676835,3.65766350962386,8.69746714460355e-06,1,60.0,0,0.0,0
production-scip,real_05,transfer,medium,random,5,1,0.2,30.081047186739642,3.3558128489655594,0.0,1,53.5291143162,0,0.0,0
production-scip,real_05,transfer,medium,relpscost,5,0,0.0,30.725412493531863,1.5694703142468787,,0,60.0,0,0.0,0
production-scip,real_05,transfer,medium,rl-gcnn,5,1,0.2,32.057486350500675,2.1374348530720995,0.0,1,53.991141508199995,19,3.0306063670000003,0
production-scip,real_05,transfer,medium,rl-mlp,5,0,0.0,31.07405870375934,3.3558128489655594,,0,60.0,98,0.045509734,0
production-scip,real_08,validation,medium,default,5,4,0.8,23.26901362817052,2.9287570174054607,0.0,4,29.6543088412,0,0.0,0
production-scip,real_08,validation,medium,mostinf,5,5,1.0,20.388016462143096,7.0953558103467405,0.0,5,20.427355943600002,0,0.0,0
