protocol,split,size,method,runs,solved,solved_rate,shifted_gmean_wall_time,shifted_gmean_nodes,median_wall_time,median_nodes,mean_final_gap,finite_gap_runs,par2,average_rank,rl_inference_total,rl_inference_fraction,fallback_count,paired_speedup,paired_speedup_ci_low,paired_speedup_ci_high,wins,ties,losses
production-scip,validation,medium,rl-gcnn,5,5,1.0,23.826077730139424,5.093346248827459,22.441568066,1.0,0.0,5,24.0476218106,4.6,6.189306233,0.05692498964520462,0,0.965850122921742,0.8548657486311486,1.0946552186653837,5,22,8
production-scip,validation,medium,rl-mlp,5,4,0.8,21.541398389514146,3.982923758462068,20.859973734,1.0,0.025024627292683198,5,27.7588369892,3.9,0.01673743,0.00015802707887816668,0,1.0214429973543455,0.9635725770252199,1.0889754828118288,3,25,7
controlled-bbmdp,all,all,default,35,8,0.22857142857142856,21.32700486532797,1.503363941339249,30.853077355,1.0,0.022932752102929718,11,48.27611333982857,3.3857142857142857,0.0,0.0,0,1.0,1.0,1.0,0,35,0
controlled-bbmdp,all,all,mostinf,35,12,0.34285714285714286,20.545004560945276,3.9119670194821117,30.671077191,1.0,0.014311524010444622,14,44.17389595819999,2.9714285714285715,0.0,0.0,0,1.1229920916983478,1.026547184001793,1.2490223425155917,8,23,4
controlled-bbmdp,all,all,random,35,13,0.37142857142857144,20.53920254572326,3.8829491695535605,30.668388778,1.0,0.012716085724705001,14,43.33297240705714,3.142857142857143,0.0,0.0,0,1.1427167944451293,1.038547879673407,1.2779248891367727,9,22,4
controlled-bbmdp,all,all,relpscost,35,8,0.22857142857142856,21.33399534197584,1.4874544389813402,30.727106111,1.0,0.022932752102929718,11,48.28281798505714,3.6142857142857143,0.0,0.0,0,0.9985071627470171,0.9968999289138595,0.9998839523015793,2,27,6
controlled-bbmdp,all,all,rl-gcnn,35,9,0.2571428571428571,24.406656177473383,2.9732602126842727,32.690241956,1.0,0.021021689427685574,12,47.80936004911428,4.3,30.402936348999997,0.03426134462005486,0,0.9060796974195503,0.8115767038195946,0.998303684242758,1,26,8
controlled-bbmdp,all,all,rl-mlp,35,8,0.22857142857142856,21.841182829968098,4.007112895044916,31.18992982,1.0,0.0202234566405609,11,48.33341567302857,4.042857142857143,0.65316732,0.0007352316902784427,0,0.9776330425328387,0.9405026053597004,1.0135702576885595,1,27,7
controlled-bbmdp,all,all,strong,5,5,1.0,2.1234545351774905,1.8619381622105111,1.683284735,1.0,0.0,5,2.5593218078,3.8,0.0,0.0,0,0.8853992649152933,0.7125650379503248,0.9896619169633735,0,0,5
production-scip,all,all,default,35,9,0.2571428571428571,21.329242798870133,1.4810765288573688,30.736719671,1.0,0.021021689427685574,12,47.387760517828575,3.3285714285714287,0.0,0.0,0,1.0,1.0,1.0,0,35,0
production-scip,all,all,mostinf,35,12,0.34285714285714286,20.443784632939643,3.5872079119635654,30.664087621,1.0,0.00029929255834134136,15,44.077622235685716,3.057142857142857,0.0,0.0,0,1.1089824919684852,1.024106880709611,1.2211824397162852,8,23,4
production-scip,all,all,random,35,11,0.3142857142857143,20.61539198608845,2.7896352070505563,30.697923572,1.0,0.011365145684197114,14,45.13881247531429,3.257142857142857,0.0,0.0,0,1.077492981602078,0.9796415236197731,1.1962908333796272,5,23,7
production-scip,all,all,relpscost,35,9,0.2571428571428571,21.364092132768274,1.4810765288573688,30.782035725,1.0,0.021021689427685574,12,47.39755845534285,3.7,0.0,0.0,0,0.9991345100252234,0.9973338833087596,1.0011820122913848,1,26,8
production-scip,all,all,rl-gcnn,35,13,0.37142857142857144,23.983906906382998,2.439435846006501,32.582460796,1.0,4.4991740011685715e-05,14,44.387241971142856,4.071428571428571,27.431452046,0.031370154363637666,0,0.965850122921742,0.8548657486311486,1.0946552186653837,5,22,8
production-scip,all,all,rl-mlp,35,10,0.2857142857142857,21.301173421173154,3.03840305620375,31.045872396,1.0,0.022658641338519102,14,46.16733306814285,3.8714285714285714,0.306135263,0.00035105425101167776,0,1.0214429973543455,0.9635725770252199,1.0889754828118288,3,25,7
production-scip,all,all,strong,5,5,1.0,2.459269568321746,2.1374348530720995,1.713767815,1.0,0.0,5,3.4321937155999995,5.0,0.0,0.0,0,0.8067364611943378,0.5593039632687692,0.9743381036723293,0,0,5
