event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,variable_family,lp_value,fractionality,selected_q,selected_bias,selected_biased,q_mean,q_std,q_min,q_max,q_top1_top2_margin,bias_mode,lambda_prim,primal_bound,dual_bound,gap,lp_iterations,nodes,graph_extract_time_seconds,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
30,60,29,111,12,76,t_m_19_0,m,0.0013333333333334085,0.0013333333333334085,-25.784740447998047,0,-25.784740447998047,-26.298539513940209,0.28741595634765327,-26.887205123901367,-25.587608337402344,0.19713211059570312,prim,0.5,1e+20,0.0096120999999999984,1e+20,13279,31,0.013014871000000001,0.46829090299999998,0.48819836799999999,true,branched,
31,63,30,110,12,71,t_m_17_3,m,0.0010000000000000009,0.0010000000000000009,-25.806060791015625,0,-25.806060791015625,-26.312813533436167,0.29071338347440234,-26.926132202148438,-25.620676040649414,0.18538475036621094,prim,0.5,1e+20,0.0096120999999999984,1e+20,13289,32,0.013574358999999999,0.35404333300000002,0.374518028,true,branched,
32,64,31,111,30,299,t_z_56_44_1,z,0.0010000000000000009,0.0010000000000000009,-26.184244155883789,1,-25.684244155883789,-26.338978604153471,0.3019360106596975,-26.950992584228516,-25.630231857299805,0.20000267028808594,prim,0.5,1e+20,0.0096120999999999984,1e+20,13297,33,0.013089396999999999,0.42765396700000002,0.44764605099999999,true,branched,
33,67,32,110,8,51,t_m_12_3,m,0.0046666666666670409,0.0046666666666670409,-25.842269897460938,0,-25.842269897460938,-26.34656358198686,0.30246362124960585,-26.957443237304688,-25.637544631958008,0.20472526550292969,prim,0.5,1e+20,0.0096120999999999984,1e+20,13299,34,0.012894284000000001,0.40497802599999999,0.42483595200000002,true,branched,
34,68,33,108,10,69,t_m_17_1,m,0.0010000000000000009,0.0010000000000000009,-25.855653762817383,0,-25.855653762817383,-26.360545017101146,0.29561482141913281,-26.916133880615234,-25.633888244628906,0.22176551818847656,prim,0.5,1e+20,0.0096120999999999984,1e+20,13306,35,0.013060133999999999,0.40975123800000002,0.42969054699999998,true,branched,
35,71,34,106,3,22,t_m_5_2,m,0.00033333333333351867,0.00033333333333351867,-25.921941757202148,0.30000001192092896,-25.771942138671875,-26.465500147837513,0.30463232674106377,-27.045001983642578,-25.631580352783203,0.20573616027832031,prim,0.5,1e+20,0.0096120999999999984,1e+20,13350,36,0.012847446,0.42282681599999999,0.442563174,true,branched,
36,73,35,94,6,52,t_m_13_0,m,0.25033333333333352,0.25033333333333352,-25.758134841918945,0,-25.758134841918945,-26.391309880195781,0.28061665572171901,-26.977479934692383,-25.646324157714844,0.11181068420410156,prim,0.5,1e+20,0.0096120999999999984,1e+20,13377,37,0.01294641,0.38954028800000001,0.40928490899999997,true,branched,
37,75,36,96,2,32,t_m_8_0,m,0.25166666666666671,0.25166666666666671,-25.790241241455078,0,-25.790241241455078,-26.411900321642559,0.27905546300582024,-27.007051467895508,-25.655614852905273,0.13462638854980469,prim,0.5,1e+20,0.0096120999999999984,1e+20,13387,38,0.013236751999999999,0.38451401800000001,0.40461192899999998,true,branched,
38,77,37,98,6,95,t_z_2_1_3,z,0.99866666666666659,0.99866666666666659,-25.661575317382812,-0.5,-25.911575317382812,-26.447969125241649,0.27621560189285554,-27.060886383056641,-25.661575317382812,0.18357467651367188,prim,0.5,1e+20,0.0096120999999999984,1e+20,13413,39,0.013043984,0.367256798,0.38712243899999998,true,branched,
39,79,38,97,0,13,t_m_3_1,m,0.0013333333333334085,0.0013333333333334085,-25.961713790893555,0,-25.961713790893555,-26.462337670866976,0.26581610832348634,-27.067840576171875,-25.845230102539062,0.071523666381835938,prim,0.5,1e+20,0.0096120999999999984,1e+20,13414,40,0.01340438,0.38113777900000001,0.40138642200000002,true,branched,
40,81,39,88,1,41,t_m_10_1,m,0.25,0.25,-25.824672698974609,0,-25.824672698974609,-26.49183112924749,0.26082440387251871,-27.066497802734375,-25.823291778564453,0.00138092041015625,prim,0.5,1e+20,0.0096120999999999984,1e+20,13421,41,0.013114092000000001,0.44858235200000002,0.468512545,true,branched,
41,83,40,91,2,72,t_m_18_0,m,0.0010000000000000009,0.0010000000000000009,-25.995700836181641,0.30000001192092896,-25.845701217651367,-26.515614624861833,0.25456202014918783,-27.037860870361328,-25.837245941162109,0.12855720520019531,prim,0.5,1e+20,0.0096120999999999984,1e+20,13442,42,0.012890848,0.42035339500000002,0.440094443,true,branched,
42,85,41,91,0,49,t_m_12_1,m,0.0010000000000000009,0.0010000000000000009,-26.034505844116211,0,-26.034505844116211,-26.542370345566297,0.24799570956150943,-27.068496704101562,-25.839921951293945,0.13387870788574219,prim,0.5,1e+20,0.0096120999999999984,1e+20,13463,43,0.01278291,0.38623429999999997,0.40583518899999999,true,branched,
43,87,42,90,87,2063,t_z_219_7_3,z,0.0040000000000000036,0.0040000000000000036,-26.561737060546875,1,-26.061737060546875,-26.558079931471084,0.24100279603601141,-27.0692138671875,-25.841394424438477,0.13705253601074219,prim,0.5,1e+20,0.0096120999999999984,1e+20,13467,44,0.012896842,0.37892287899999999,0.39864390199999999,true,branched,
44,88,43,89,38,639,t_z_112_7_3,z,0.996,0.996,-25.856830596923828,-0.5,-26.106830596923828,-26.560744789209259,0.24184155219420445,-27.072343826293945,-25.856830596923828,0.121490478515625,prim,0.5,1e+20,0.0096120999999999984,1e+20,13468,45,0.012787997000000001,0.468924697,0.488589047,true,branched,
45,91,44,89,16,401,t_z_88_6_0,z,0.5,0.5,-26.621210098266602,1,-26.121210098266602,-26.563812448737327,0.23998385191672325,-27.075328826904297,-25.919332504272461,0.058549880981445312,prim,0.5,1e+20,0.0096120999999999984,1e+20,13469,46,0.012773768,0.41044577300000001,0.430072226,true,branched,
46,93,45,68,29,647,t_z_113_112_3,z,0.997,0.997,-25.930744171142578,-0.5,-26.180744171142578,-26.555267502279843,0.27311687452401096,-27.087703704833984,-25.930744171142578,0.057037353515625,prim,0.5,1e+20,0.0096120999999999984,1e+20,13478,47,0.012865641000000001,0.413795038,0.43349011500000001,true,branched,
47,95,46,67,1,146,t_z_16_23_1,z,0.998,0.998,-26.000864028930664,-0.5,-26.250864028930664,-26.576888269452905,0.26495262152699151,-27.102767944335938,-26.000864028930664,0.013896942138671875,prim,0.5,1e+20,0.0096120999999999984,1e+20,13479,48,0.012955141999999999,0.46338652400000002,0.48320519200000001,true,branched,
48,97,47,66,60,2038,t_z_238_321_3,z,0.998,0.998,-26.020298004150391,-0.5,-26.270298004150391,-26.591152826944988,0.25721580326082522,-27.108303070068359,-26.020298004150391,0.053760528564453125,prim,0.5,1e+20,0.0096120999999999984,1e+20,13479,49,0.012977880000000001,0.463527366,0.483378005,true,branched,
49,99,48,64,42,1220,t_z_64_65_2,z,0.999,0.999,-26.087446212768555,-0.5,-26.337446212768555,-26.614861577749252,0.24993671946154364,-27.120571136474609,-26.087446212768555,0.036310195922851562,prim,0.5,1e+20,0.0096120999999999984,1e+20,13480,50,0.012644407999999999,0.347329634,0.36681413600000001,true,branched,
50,101,49,62,37,1173,t_z_213_212_2,z,0.999,0.999,-26.132143020629883,-0.5,-26.382143020629883,-26.630652335382276,0.24553291989271983,-27.128955841064453,-26.132143020629883,0.005611419677734375,prim,0.5,1e+20,0.0096120999999999984,1e+20,13480,51,0.013345121,0.47094707299999999,0.49115083999999998,true,branched,
51,103,50,61,20,600,t_z_88_109_0,z,0.999,0.999,-26.145479202270508,-0.5,-26.395479202270508,-26.64754117121462,0.23914698321491984,-27.137722015380859,-26.145479202270508,0.0035400390625,prim,0.5,1e+20,0.0096120999999999984,1e+20,13480,52,0.013466825999999999,0.48509212200000001,0.50541523899999996,true,branched,
