event,episode,gradient_step,loss,td_error,epsilon,reward,episode_nodes,episode_solving_time,validation_nodes,validation_time,replay_size,q_value_mean,q_value_std,selected_candidate_rank,cpu_memory_mb,gpu_memory_mb,status,instance
episode,11,3656,1.6597810983657837,1.9867374897003174,0.13170000000000004,-40.0,41,60.125099,,,490,,,6.512820512820513,1505.01953125,64.423828125,timelimit,data/instances/train/real_06.cip
train_update,12,3700,2.8828508853912354,3.223442554473877,0.12219999999999998,,,,,,494,-62.3248291015625,19.57996940612793,1.0,1505.01953125,64.423828125,,data/instances/train/real_06.cip
train_update,12,3750,7.438198566436768,7.814772129058838,0.11080000000000001,,,,,,500,-59.745704650878906,25.311548233032227,1.0,1505.01953125,64.423828125,,data/instances/train/real_06.cip
train_update,12,3800,1.2106122970581055,1.5727238655090332,0.09940000000000004,,,,,,506,-66.5880126953125,15.00808048248291,85.0,1505.01953125,64.423828125,,data/instances/train/real_06.cip
train_update,12,3850,5.656776428222656,6.055542945861816,0.08610000000000007,,,,,,513,-58.72977828979492,22.977632522583008,1.0,1505.01953125,64.423828125,,data/instances/train/real_06.cip
train_update,12,3900,3.374727725982666,3.7190537452697754,0.0747000000000001,,,,,,519,-72.0037841796875,21.485157012939453,1.0,1505.01953125,64.423828125,,data/instances/train/real_06.cip
train_update,12,3950,4.947242736816406,5.307131767272949,0.06330000000000002,,,,,,525,-61.2923469543457,26.382062911987305,8.0,1505.01953125,64.423828125,,data/instances/train/real_06.cip
train_update,12,4000,2.9626169204711914,3.335082530975342,0.05190000000000006,,,,,,531,-64.35723114013672,26.21528434753418,1.0,1505.01953125,64.423828125,,data/instances/train/real_06.cip
episode,12,4016,2.3215785026550293,2.740206003189087,0.050000000000000044,-48.0,49,60.396162,,,535,,,3.888888888888889,1505.01953125,64.423828125,timelimit,data/instances/train/real_06.cip
validation,13,4016,,,,,,,64.0,29.386169,535,,,,,,optimal,data/instances/validation/real_08.cip
train_update,13,4050,7.277196407318115,7.642656326293945,0.050000000000000044,,,,,,538,-65.441162109375,22.04429054260254,1.0,1531.43359375,64.423828125,,data/instances/train/real_06.cip
train_update,13,4100,3.234745502471924,3.6408567428588867,0.050000000000000044,,,,,,544,-63.12834548950195,28.589994430541992,1.0,1531.43359375,64.423828125,,data/instances/train/real_06.cip
train_update,13,4150,2.9706103801727295,3.3428361415863037,0.050000000000000044,,,,,,550,-63.79951858520508,31.402122497558594,1.0,1531.43359375,64.423828125,,data/instances/train/real_06.cip
train_update,13,4200,1.9586941003799438,2.290013313293457,0.050000000000000044,,,,,,556,-75.280029296875,25.696468353271484,1.0,1531.43359375,64.423828125,,data/instances/train/real_06.cip
train_update,13,4250,5.625446319580078,6.037148952484131,0.050000000000000044,,,,,,563,-67.04608154296875,21.20343017578125,1.0,1531.43359375,64.423828125,,data/instances/train/real_06.cip
episode,13,4288,2.7217800617218018,3.1456732749938965,0.050000000000000044,-34.0,35,60.069445,,,569,,,8.852941176470589,1531.43359375,64.423828125,timelimit,data/instances/train/real_06.cip
